|TABLE_SCHEMA|TABLE_NAME|COLUMN_NAME|ORDINAL_POSITION|DATA_TYPE
0|Production|ScrapReason|ScrapReasonID|1|smallint
1|Production|ScrapReason|Name|2|nvarchar
2|Production|ScrapReason|ModifiedDate|3|datetime
3|HumanResources|Shift|ShiftID|1|tinyint
4|HumanResources|Shift|Name|2|nvarchar
5|HumanResources|Shift|StartTime|3|time
6|HumanResources|Shift|EndTime|4|time
7|HumanResources|Shift|ModifiedDate|5|datetime
8|Production|ProductCategory|ProductCategoryID|1|int
9|Production|ProductCategory|Name|2|nvarchar
10|Production|ProductCategory|rowguid|3|uniqueidentifier
11|Production|ProductCategory|ModifiedDate|4|datetime
12|Purchasing|ShipMethod|ShipMethodID|1|int
13|Purchasing|ShipMethod|Name|2|nvarchar
14|Purchasing|ShipMethod|ShipBase|3|money
15|Purchasing|ShipMethod|ShipRate|4|money
16|Purchasing|ShipMethod|rowguid|5|uniqueidentifier
17|Purchasing|ShipMethod|ModifiedDate|6|datetime
18|Production|ProductCostHistory|ProductID|1|int
19|Production|ProductCostHistory|StartDate|2|datetime
20|Production|ProductCostHistory|EndDate|3|datetime
21|Production|ProductCostHistory|StandardCost|4|money
22|Production|ProductCostHistory|ModifiedDate|5|datetime
23|Production|ProductDescription|ProductDescriptionID|1|int
24|Production|ProductDescription|Description|2|nvarchar
25|Production|ProductDescription|rowguid|3|uniqueidentifier
26|Production|ProductDescription|ModifiedDate|4|datetime
27|Sales|ShoppingCartItem|ShoppingCartItemID|1|int
28|Sales|ShoppingCartItem|ShoppingCartID|2|nvarchar
29|Sales|ShoppingCartItem|Quantity|3|int
30|Sales|ShoppingCartItem|ProductID|4|int
31|Sales|ShoppingCartItem|DateCreated|5|datetime
32|Sales|ShoppingCartItem|ModifiedDate|6|datetime
33|Production|ProductDocument|ProductID|1|int
34|Production|ProductDocument|DocumentNode|2|hierarchyid
35|Production|ProductDocument|ModifiedDate|3|datetime
36|dbo|DatabaseLog|DatabaseLogID|1|int
37|dbo|DatabaseLog|PostTime|2|datetime
38|dbo|DatabaseLog|DatabaseUser|3|nvarchar
39|dbo|DatabaseLog|Event|4|nvarchar
40|dbo|DatabaseLog|Schema|5|nvarchar
41|dbo|DatabaseLog|Object|6|nvarchar
42|dbo|DatabaseLog|TSQL|7|nvarchar
43|dbo|DatabaseLog|XmlEvent|8|xml
44|Production|ProductInventory|ProductID|1|int
45|Production|ProductInventory|LocationID|2|smallint
46|Production|ProductInventory|Shelf|3|nvarchar
47|Production|ProductInventory|Bin|4|tinyint
48|Production|ProductInventory|Quantity|5|smallint
49|Production|ProductInventory|rowguid|6|uniqueidentifier
50|Production|ProductInventory|ModifiedDate|7|datetime
51|Sales|SpecialOffer|SpecialOfferID|1|int
52|Sales|SpecialOffer|Description|2|nvarchar
53|Sales|SpecialOffer|DiscountPct|3|smallmoney
54|Sales|SpecialOffer|Type|4|nvarchar
55|Sales|SpecialOffer|Category|5|nvarchar
56|Sales|SpecialOffer|StartDate|6|datetime
57|Sales|SpecialOffer|EndDate|7|datetime
58|Sales|SpecialOffer|MinQty|8|int
59|Sales|SpecialOffer|MaxQty|9|int
60|Sales|SpecialOffer|rowguid|10|uniqueidentifier
61|Sales|SpecialOffer|ModifiedDate|11|datetime
62|dbo|ErrorLog|ErrorLogID|1|int
63|dbo|ErrorLog|ErrorTime|2|datetime
64|dbo|ErrorLog|UserName|3|nvarchar
65|dbo|ErrorLog|ErrorNumber|4|int
66|dbo|ErrorLog|ErrorSeverity|5|int
67|dbo|ErrorLog|ErrorState|6|int
68|dbo|ErrorLog|ErrorProcedure|7|nvarchar
69|dbo|ErrorLog|ErrorLine|8|int
70|dbo|ErrorLog|ErrorMessage|9|nvarchar
71|Production|ProductListPriceHistory|ProductID|1|int
72|Production|ProductListPriceHistory|StartDate|2|datetime
73|Production|ProductListPriceHistory|EndDate|3|datetime
74|Production|ProductListPriceHistory|ListPrice|4|money
75|Production|ProductListPriceHistory|ModifiedDate|5|datetime
76|Person|Address|AddressID|1|int
77|Person|Address|AddressLine1|2|nvarchar
78|Person|Address|AddressLine2|3|nvarchar
79|Person|Address|City|4|nvarchar
80|Person|Address|StateProvinceID|5|int
81|Person|Address|PostalCode|6|nvarchar
82|Person|Address|SpatialLocation|7|geography
83|Person|Address|rowguid|8|uniqueidentifier
