|VIEW_SCHEMA|VIEW_NAME|TABLE_SCHEMA|TABLE_NAME|COLUMN_NAME
0|HumanResources|vEmployee|Person|PhoneNumberType|Name
1|HumanResources|vEmployee|Person|PhoneNumberType|PhoneNumberTypeID
2|HumanResources|vEmployee|Person|PersonPhone|PhoneNumberTypeID
3|HumanResources|vEmployee|Person|PersonPhone|PhoneNumber
4|HumanResources|vEmployee|Person|PersonPhone|BusinessEntityID
5|HumanResources|vEmployee|Person|Person|BusinessEntityID
6|HumanResources|vEmployee|Person|Person|Title
7|HumanResources|vEmployee|Person|Person|FirstName
8|HumanResources|vEmployee|Person|Person|MiddleName
9|HumanResources|vEmployee|Person|Person|LastName
10|HumanResources|vEmployee|Person|Person|Suffix
11|HumanResources|vEmployee|Person|Person|EmailPromotion
12|HumanResources|vEmployee|Person|Person|AdditionalContactInfo
13|Person|vAdditionalContactInfo|Person|Person|ModifiedDate
14|Person|vAdditionalContactInfo|Person|Person|rowguid
15|Person|vAdditionalContactInfo|Person|Person|AdditionalContactInfo
16|Person|vAdditionalContactInfo|Person|Person|LastName
17|Person|vAdditionalContactInfo|Person|Person|MiddleName
18|Person|vAdditionalContactInfo|Person|Person|FirstName
19|Person|vAdditionalContactInfo|Person|Person|BusinessEntityID
20|HumanResources|vEmployee|Person|Address|PostalCode
21|HumanResources|vEmployee|Person|Address|StateProvinceID
22|HumanResources|vEmployeeDepartment|Person|Person|BusinessEntityID
23|HumanResources|vEmployeeDepartment|Person|Person|Title
24|HumanResources|vEmployeeDepartment|Person|Person|FirstName
25|HumanResources|vEmployeeDepartment|Person|Person|MiddleName
26|HumanResources|vEmployeeDepartment|Person|Person|LastName
27|HumanResources|vEmployeeDepartment|Person|Person|Suffix
28|HumanResources|vEmployee|Person|Address|City
29|HumanResources|vEmployee|Person|Address|AddressLine2
30|HumanResources|vEmployeeDepartmentHistory|HumanResources|Department|DepartmentID
31|HumanResources|vEmployeeDepartmentHistory|HumanResources|Department|Name
32|HumanResources|vEmployeeDepartmentHistory|HumanResources|Department|GroupName
33|HumanResources|vEmployeeDepartmentHistory|HumanResources|Employee|BusinessEntityID
34|HumanResources|vEmployeeDepartmentHistory|HumanResources|EmployeeDepartmentHistory|BusinessEntityID
