|TABLE_SCHEMA|TABLE_NAME
0|HumanResources|EmployeePayHistory
1|Sales|SalesOrderHeaderSalesReason
2|Sales|SalesPerson
3|Production|Illustration
4|HumanResources|JobCandidate
5|Production|Location
6|Person|Password
7|Sales|SalesPersonQuotaHistory
8|Person|Person
9|Sales|SalesReason
10|Sales|SalesTaxRate
11|Sales|PersonCreditCard
12|Person|PersonPhone
13|Sales|SalesTerritory
14|Person|PhoneNumberType
15|Production|Product
16|Sales|SalesTerritoryHistory
17|Production|ScrapReason
18|HumanResources|Shift
19|Production|ProductCategory
20|Purchasing|ShipMethod
21|Production|ProductCostHistory
22|Production|ProductDescription
23|Sales|ShoppingCartItem
24|Production|ProductDocument
25|dbo|DatabaseLog
26|Production|ProductInventory
27|Sales|SpecialOffer
28|dbo|ErrorLog
29|Production|ProductListPriceHistory
30|Person|Address
31|Sales|SpecialOfferProduct
32|Production|ProductModel
33|Person|AddressType
34|Person|StateProvince
35|Production|ProductModelIllustration
36|dbo|AWBuildVersion
37|Production|ProductModelProductDescriptionCulture
38|Production|BillOfMaterials
39|Sales|Store
40|Production|ProductPhoto
41|Production|ProductProductPhoto
42|Production|TransactionHistory
43|Production|ProductReview
44|Person|BusinessEntity
45|Production|TransactionHistoryArchive
46|Production|ProductSubcategory
47|Person|BusinessEntityAddress
48|Purchasing|ProductVendor
49|Person|BusinessEntityContact
50|Production|UnitMeasure
51|Purchasing|Vendor
52|Person|ContactType
53|Sales|CountryRegionCurrency
54|Person|CountryRegion
55|Production|WorkOrder
56|Purchasing|PurchaseOrderDetail
57|Sales|CreditCard
58|Production|Culture
59|Production|WorkOrderRouting
60|Sales|Currency
61|Purchasing|PurchaseOrderHeader
62|Sales|CurrencyRate
63|Sales|Customer
64|HumanResources|Department
65|Production|Document
66|Sales|SalesOrderDetail
67|Person|EmailAddress
68|HumanResources|Employee
69|Sales|SalesOrderHeader
70|HumanResources|EmployeeDepartmentHistory
