|CONSTRAINT_SCHEMA|CONSTRAINT_NAME|TABLE_SCHEMA|TABLE_NAME|CONSTRAINT_TYPE
0|HumanResources|CK_EmployeePayHistory_PayFrequency|HumanResources|EmployeePayHistory|CHECK
1|HumanResources|CK_EmployeePayHistory_Rate|HumanResources|EmployeePayHistory|CHECK
2|HumanResources|FK_EmployeePayHistory_Employee_BusinessEntityID|HumanResources|EmployeePayHistory|FOREIGN KEY
3|HumanResources|PK_EmployeePayHistory_BusinessEntityID_RateChangeDate|HumanResources|EmployeePayHistory|PRIMARY KEY
4|Sales|FK_SalesOrderHeaderSalesReason_SalesReason_SalesReasonID|Sales|SalesOrderHeaderSalesReason|FOREIGN KEY
5|Sales|FK_SalesOrderHeaderSalesReason_SalesOrderHeader_SalesOrderID|Sales|SalesOrderHeaderSalesReason|FOREIGN KEY
6|Sales|PK_SalesOrderHeaderSalesReason_SalesOrderID_SalesReasonID|Sales|SalesOrderHeaderSalesReason|PRIMARY KEY
7|Sales|PK_SalesPerson_BusinessEntityID|Sales|SalesPerson|PRIMARY KEY
8|Sales|CK_SalesPerson_SalesYTD|Sales|SalesPerson|CHECK
9|Sales|CK_SalesPerson_SalesLastYear|Sales|SalesPerson|CHECK
10|Sales|CK_SalesPerson_SalesQuota|Sales|SalesPerson|CHECK
11|Sales|CK_SalesPerson_Bonus|Sales|SalesPerson|CHECK
12|Sales|CK_SalesPerson_CommissionPct|Sales|SalesPerson|CHECK
13|Sales|FK_SalesPerson_Employee_BusinessEntityID|Sales|SalesPerson|FOREIGN KEY
14|Sales|FK_SalesPerson_SalesTerritory_TerritoryID|Sales|SalesPerson|FOREIGN KEY
15|Production|PK_Illustration_IllustrationID|Production|Illustration|PRIMARY KEY
16|HumanResources|PK_JobCandidate_JobCandidateID|HumanResources|JobCandidate|PRIMARY KEY
17|HumanResources|FK_JobCandidate_Employee_BusinessEntityID|HumanResources|JobCandidate|FOREIGN KEY
18|Production|CK_Location_Availability|Production|Location|CHECK
19|Production|CK_Location_CostRate|Production|Location|CHECK
20|Production|PK_Location_LocationID|Production|Location|PRIMARY KEY
21|Person|PK_Password_BusinessEntityID|Person|Password|PRIMARY KEY
22|Person|FK_Password_Person_BusinessEntityID|Person|Password|FOREIGN KEY
23|Sales|CK_SalesPersonQuotaHistory_SalesQuota|Sales|SalesPersonQuotaHistory|CHECK
24|Sales|PK_SalesPersonQuotaHistory_BusinessEntityID_QuotaDate|Sales|SalesPersonQuotaHistory|PRIMARY KEY
25|Sales|FK_SalesPersonQuotaHistory_SalesPerson_BusinessEntityID|Sales|SalesPersonQuotaHistory|FOREIGN KEY
26|Person|PK_Person_BusinessEntityID|Person|Person|PRIMARY KEY
27|Person|CK_Person_PersonType|Person|Person|CHECK
28|Person|CK_Person_EmailPromotion|Person|Person|CHECK
29|Person|FK_Person_BusinessEntity_BusinessEntityID|Person|Person|FOREIGN KEY
30|Sales|PK_SalesReason_SalesReasonID|Sales|SalesReason|PRIMARY KEY
31|Sales|PK_SalesTaxRate_SalesTaxRateID|Sales|SalesTaxRate|PRIMARY KEY
32|Sales|CK_SalesTaxRate_TaxType|Sales|SalesTaxRate|CHECK
33|Sales|FK_SalesTaxRate_StateProvince_StateProvinceID|Sales|SalesTaxRate|FOREIGN KEY
34|Sales|PK_PersonCreditCard_BusinessEntityID_CreditCardID|Sales|PersonCreditCard|PRIMARY KEY
35|Sales|FK_PersonCreditCard_Person_BusinessEntityID|Sales|PersonCreditCard|FOREIGN KEY
36|Sales|FK_PersonCreditCard_CreditCard_CreditCardID|Sales|PersonCreditCard|FOREIGN KEY
37|Person|FK_PersonPhone_Person_BusinessEntityID|Person|PersonPhone|FOREIGN KEY
38|Person|FK_PersonPhone_PhoneNumberType_PhoneNumberTypeID|Person|PersonPhone|FOREIGN KEY
39|Person|PK_PersonPhone_BusinessEntityID_PhoneNumber_PhoneNumberTypeID|Person|PersonPhone|PRIMARY KEY
40|Sales|FK_SalesTerritory_CountryRegion_CountryRegionCode|Sales|SalesTerritory|FOREIGN KEY
41|Sales|CK_SalesTerritory_SalesYTD|Sales|SalesTerritory|CHECK
42|Sales|CK_SalesTerritory_SalesLastYear|Sales|SalesTerritory|CHECK
43|Sales|CK_SalesTerritory_CostYTD|Sales|SalesTerritory|CHECK
44|Sales|CK_SalesTerritory_CostLastYear|Sales|SalesTerritory|CHECK
45|Sales|PK_SalesTerritory_TerritoryID|Sales|SalesTerritory|PRIMARY KEY
46|Person|PK_PhoneNumberType_PhoneNumberTypeID|Person|PhoneNumberType|PRIMARY KEY
47|Production|PK_Product_ProductID|Production|Product|PRIMARY KEY
48|Production|CK_Product_StandardCost|Production|Product|CHECK
49|Production|CK_Product_ReorderPoint|Production|Product|CHECK
50|Production|CK_Product_SafetyStockLevel|Production|Product|CHECK
51|Production|FK_Product_UnitMeasure_SizeUnitMeasureCode|Production|Product|FOREIGN KEY
52|Production|FK_Product_UnitMeasure_WeightUnitMeasureCode|Production|Product|FOREIGN KEY
53|Production|FK_Product_ProductModel_ProductModelID|Production|Product|FOREIGN KEY
