|TABLE_SCHEMA|TABLE_NAME|COLUMN_NAME|ORDINAL_POSITION|DATA_TYPE
0|Sales|vStoreWithContacts|BusinessEntityID|1|int
1|Sales|vStoreWithContacts|Name|2|nvarchar
2|Sales|vStoreWithContacts|ContactType|3|nvarchar
3|Sales|vStoreWithContacts|Title|4|nvarchar
4|Sales|vStoreWithContacts|FirstName|5|nvarchar
5|Sales|vStoreWithContacts|MiddleName|6|nvarchar
6|Sales|vStoreWithContacts|LastName|7|nvarchar
7|Sales|vStoreWithContacts|Suffix|8|nvarchar
8|Sales|vStoreWithContacts|PhoneNumber|9|nvarchar
9|Sales|vStoreWithContacts|PhoneNumberType|10|nvarchar
10|Sales|vStoreWithContacts|EmailAddress|11|nvarchar
11|Sales|vStoreWithContacts|EmailPromotion|12|int
12|Production|ScrapReason|ScrapReasonID|1|smallint
13|Production|ScrapReason|Name|2|nvarchar
14|Production|ScrapReason|ModifiedDate|3|datetime
15|Sales|vStoreWithAddresses|BusinessEntityID|1|int
16|Sales|vStoreWithAddresses|Name|2|nvarchar
17|Sales|vStoreWithAddresses|AddressType|3|nvarchar
18|Sales|vStoreWithAddresses|AddressLine1|4|nvarchar
19|Sales|vStoreWithAddresses|AddressLine2|5|nvarchar
20|Sales|vStoreWithAddresses|City|6|nvarchar
21|Sales|vStoreWithAddresses|StateProvinceName|7|nvarchar
22|Sales|vStoreWithAddresses|PostalCode|8|nvarchar
23|Sales|vStoreWithAddresses|CountryRegionName|9|nvarchar
24|Purchasing|vVendorWithContacts|BusinessEntityID|1|int
25|Purchasing|vVendorWithContacts|Name|2|nvarchar
26|Purchasing|vVendorWithContacts|ContactType|3|nvarchar
27|Purchasing|vVendorWithContacts|Title|4|nvarchar
28|Purchasing|vVendorWithContacts|FirstName|5|nvarchar
29|Purchasing|vVendorWithContacts|MiddleName|6|nvarchar
30|Purchasing|vVendorWithContacts|LastName|7|nvarchar
31|Purchasing|vVendorWithContacts|Suffix|8|nvarchar
32|Purchasing|vVendorWithContacts|PhoneNumber|9|nvarchar
33|Purchasing|vVendorWithContacts|PhoneNumberType|10|nvarchar
34|Purchasing|vVendorWithContacts|EmailAddress|11|nvarchar
35|Purchasing|vVendorWithContacts|EmailPromotion|12|int
36|HumanResources|Shift|ShiftID|1|tinyint
37|HumanResources|Shift|Name|2|nvarchar
38|HumanResources|Shift|StartTime|3|time
39|HumanResources|Shift|EndTime|4|time
40|HumanResources|Shift|ModifiedDate|5|datetime
41|Purchasing|vVendorWithAddresses|BusinessEntityID|1|int
42|Purchasing|vVendorWithAddresses|Name|2|nvarchar
43|Purchasing|vVendorWithAddresses|AddressType|3|nvarchar
44|Purchasing|vVendorWithAddresses|AddressLine1|4|nvarchar
45|Purchasing|vVendorWithAddresses|AddressLine2|5|nvarchar
46|Purchasing|vVendorWithAddresses|City|6|nvarchar
47|Purchasing|vVendorWithAddresses|StateProvinceName|7|nvarchar
48|Purchasing|vVendorWithAddresses|PostalCode|8|nvarchar
49|Purchasing|vVendorWithAddresses|CountryRegionName|9|nvarchar
50|Production|ProductCategory|ProductCategoryID|1|int
51|Production|ProductCategory|Name|2|nvarchar
52|Production|ProductCategory|rowguid|3|uniqueidentifier
53|Production|ProductCategory|ModifiedDate|4|datetime
54|Purchasing|ShipMethod|ShipMethodID|1|int
55|Purchasing|ShipMethod|Name|2|nvarchar
56|Purchasing|ShipMethod|ShipBase|3|money
57|Purchasing|ShipMethod|ShipRate|4|money
58|Purchasing|ShipMethod|rowguid|5|uniqueidentifier
59|Purchasing|ShipMethod|ModifiedDate|6|datetime
60|Production|ProductCostHistory|ProductID|1|int
61|Production|ProductCostHistory|StartDate|2|datetime
62|Production|ProductCostHistory|EndDate|3|datetime
63|Production|ProductCostHistory|StandardCost|4|money
64|Production|ProductCostHistory|ModifiedDate|5|datetime
65|Production|ProductDescription|ProductDescriptionID|1|int
66|Production|ProductDescription|Description|2|nvarchar
67|Production|ProductDescription|rowguid|3|uniqueidentifier
68|Production|ProductDescription|ModifiedDate|4|datetime
69|Sales|ShoppingCartItem|ShoppingCartItemID|1|int
70|Sales|ShoppingCartItem|ShoppingCartID|2|nvarchar
71|Sales|ShoppingCartItem|Quantity|3|int
72|Sales|ShoppingCartItem|ProductID|4|int
73|Sales|ShoppingCartItem|DateCreated|5|datetime
74|Sales|ShoppingCartItem|ModifiedDate|6|datetime
75|Production|ProductDocument|ProductID|1|int
76|Production|ProductDocument|DocumentNode|2|hierarchyid
77|Production|ProductDocument|ModifiedDate|3|datetime
