|VIEW_SCHEMA|VIEW_NAME|TABLE_SCHEMA|TABLE_NAME|COLUMN_NAME
0|HumanResources|vEmployee|Person|CountryRegion|Name
1|HumanResources|vEmployee|Person|CountryRegion|CountryRegionCode
2|HumanResources|vEmployee|Person|BusinessEntityAddress|AddressID
3|HumanResources|vEmployee|Person|BusinessEntityAddress|BusinessEntityID
4|HumanResources|vEmployee|Person|StateProvince|Name
5|HumanResources|vEmployee|Person|Person|BusinessEntityID
6|HumanResources|vEmployee|Person|Person|Title
7|HumanResources|vEmployee|Person|Person|FirstName
8|HumanResources|vEmployee|Person|Person|MiddleName
9|HumanResources|vEmployee|Person|Person|LastName
10|HumanResources|vEmployee|Person|Person|Suffix
11|HumanResources|vEmployee|Person|Person|EmailPromotion
12|HumanResources|vEmployee|Person|Person|AdditionalContactInfo
13|HumanResources|vEmployeeDepartment|HumanResources|Department|DepartmentID
14|HumanResources|vEmployeeDepartment|HumanResources|Department|Name
15|HumanResources|vEmployeeDepartment|HumanResources|Department|GroupName
16|HumanResources|vEmployee|Person|StateProvince|CountryRegionCode
17|HumanResources|vEmployee|Person|StateProvince|StateProvinceID
18|HumanResources|vEmployee|Person|Address|PostalCode
19|HumanResources|vEmployee|Person|Address|StateProvinceID
20|HumanResources|vEmployee|Person|Address|City
21|HumanResources|vEmployee|Person|Address|AddressLine2
22|HumanResources|vEmployeeDepartment|Person|Person|BusinessEntityID
23|HumanResources|vEmployeeDepartment|Person|Person|Title
24|HumanResources|vEmployeeDepartment|Person|Person|FirstName
25|HumanResources|vEmployeeDepartment|Person|Person|MiddleName
26|HumanResources|vEmployeeDepartment|Person|Person|LastName
27|HumanResources|vEmployeeDepartment|Person|Person|Suffix
28|HumanResources|vEmployee|Person|Address|AddressLine1
29|HumanResources|vEmployee|Person|Address|AddressID
30|HumanResources|vEmployeeDepartmentHistory|HumanResources|Department|DepartmentID
31|HumanResources|vEmployeeDepartmentHistory|HumanResources|Department|Name
32|HumanResources|vEmployeeDepartmentHistory|HumanResources|Department|GroupName
33|HumanResources|vEmployee|Person|PhoneNumberType|Name
34|HumanResources|vEmployee|Person|PhoneNumberType|PhoneNumberTypeID
35|HumanResources|vEmployee|Person|PersonPhone|PhoneNumberTypeID
36|HumanResources|vEmployee|Person|PersonPhone|PhoneNumber
37|HumanResources|vEmployee|Person|PersonPhone|BusinessEntityID
38|Person|vAdditionalContactInfo|Person|Person|ModifiedDate
39|HumanResources|vEmployeeDepartmentHistory|Person|Person|BusinessEntityID
40|HumanResources|vEmployeeDepartmentHistory|Person|Person|Title
41|HumanResources|vEmployeeDepartmentHistory|Person|Person|FirstName
42|HumanResources|vEmployeeDepartmentHistory|Person|Person|MiddleName
43|HumanResources|vEmployeeDepartmentHistory|Person|Person|LastName
44|HumanResources|vEmployeeDepartmentHistory|Person|Person|Suffix
45|Sales|vIndividualCustomer|Person|PersonPhone|BusinessEntityID
46|Sales|vIndividualCustomer|Person|PersonPhone|PhoneNumber
47|Sales|vIndividualCustomer|Person|PersonPhone|PhoneNumberTypeID
48|Sales|vIndividualCustomer|Person|PhoneNumberType|PhoneNumberTypeID
49|Sales|vIndividualCustomer|Person|PhoneNumberType|Name
50|Sales|vIndividualCustomer|Person|Address|AddressID
51|Sales|vIndividualCustomer|Person|Address|AddressLine1
52|Sales|vIndividualCustomer|Person|Address|AddressLine2
53|Sales|vIndividualCustomer|Person|Address|City
54|Sales|vIndividualCustomer|Person|Address|StateProvinceID
55|Sales|vIndividualCustomer|Person|Address|PostalCode
56|Sales|vIndividualCustomer|Person|AddressType|AddressTypeID
57|Sales|vIndividualCustomer|Person|AddressType|Name
58|Sales|vIndividualCustomer|Person|StateProvince|StateProvinceID
59|Sales|vIndividualCustomer|Person|StateProvince|CountryRegionCode
60|Sales|vIndividualCustomer|Person|StateProvince|Name
61|Sales|vIndividualCustomer|Person|BusinessEntityAddress|BusinessEntityID
62|Sales|vIndividualCustomer|Person|BusinessEntityAddress|AddressID
63|Sales|vIndividualCustomer|Person|BusinessEntityAddress|AddressTypeID
