|TABLE_SCHEMA|TABLE_NAME|COLUMN_NAME|ORDINAL_POSITION|DATA_TYPE
0|Production|ScrapReason|ScrapReasonID|1|smallint
1|Production|ScrapReason|Name|2|nvarchar
2|Production|ScrapReason|ModifiedDate|3|datetime
3|Sales|vStoreWithAddresses|BusinessEntityID|1|int
4|Sales|vStoreWithAddresses|Name|2|nvarchar
5|Sales|vStoreWithAddresses|AddressType|3|nvarchar
6|Sales|vStoreWithAddresses|AddressLine1|4|nvarchar
7|Sales|vStoreWithAddresses|AddressLine2|5|nvarchar
8|Sales|vStoreWithAddresses|City|6|nvarchar
9|Sales|vStoreWithAddresses|StateProvinceName|7|nvarchar
10|Sales|vStoreWithAddresses|PostalCode|8|nvarchar
11|Sales|vStoreWithAddresses|CountryRegionName|9|nvarchar
12|Purchasing|vVendorWithContacts|BusinessEntityID|1|int
13|Purchasing|vVendorWithContacts|Name|2|nvarchar
14|Purchasing|vVendorWithContacts|ContactType|3|nvarchar
15|Purchasing|vVendorWithContacts|Title|4|nvarchar
16|Purchasing|vVendorWithContacts|FirstName|5|nvarchar
17|Purchasing|vVendorWithContacts|MiddleName|6|nvarchar
18|Purchasing|vVendorWithContacts|LastName|7|nvarchar
19|Purchasing|vVendorWithContacts|Suffix|8|nvarchar
20|Purchasing|vVendorWithContacts|PhoneNumber|9|nvarchar
21|Purchasing|vVendorWithContacts|PhoneNumberType|10|nvarchar
22|Purchasing|vVendorWithContacts|EmailAddress|11|nvarchar
23|Purchasing|vVendorWithContacts|EmailPromotion|12|int
24|HumanResources|Shift|ShiftID|1|tinyint
25|HumanResources|Shift|Name|2|nvarchar
26|HumanResources|Shift|StartTime|3|time
27|HumanResources|Shift|EndTime|4|time
28|HumanResources|Shift|ModifiedDate|5|datetime
29|Purchasing|vVendorWithAddresses|BusinessEntityID|1|int
30|Purchasing|vVendorWithAddresses|Name|2|nvarchar
31|Purchasing|vVendorWithAddresses|AddressType|3|nvarchar
32|Purchasing|vVendorWithAddresses|AddressLine1|4|nvarchar
33|Purchasing|vVendorWithAddresses|AddressLine2|5|nvarchar
34|Purchasing|vVendorWithAddresses|City|6|nvarchar
35|Purchasing|vVendorWithAddresses|StateProvinceName|7|nvarchar
36|Purchasing|vVendorWithAddresses|PostalCode|8|nvarchar
37|Purchasing|vVendorWithAddresses|CountryRegionName|9|nvarchar
38|Production|ProductCategory|ProductCategoryID|1|int
39|Production|ProductCategory|Name|2|nvarchar
40|Production|ProductCategory|rowguid|3|uniqueidentifier
41|Production|ProductCategory|ModifiedDate|4|datetime
42|Purchasing|ShipMethod|ShipMethodID|1|int
43|Purchasing|ShipMethod|Name|2|nvarchar
44|Purchasing|ShipMethod|ShipBase|3|money
45|Purchasing|ShipMethod|ShipRate|4|money
46|Purchasing|ShipMethod|rowguid|5|uniqueidentifier
47|Purchasing|ShipMethod|ModifiedDate|6|datetime
48|Production|ProductCostHistory|ProductID|1|int
49|Production|ProductCostHistory|StartDate|2|datetime
50|Production|ProductCostHistory|EndDate|3|datetime
51|Production|ProductCostHistory|StandardCost|4|money
52|Production|ProductCostHistory|ModifiedDate|5|datetime
53|Production|ProductDescription|ProductDescriptionID|1|int
54|Production|ProductDescription|Description|2|nvarchar
55|Production|ProductDescription|rowguid|3|uniqueidentifier
56|Production|ProductDescription|ModifiedDate|4|datetime
57|Sales|ShoppingCartItem|ShoppingCartItemID|1|int
58|Sales|ShoppingCartItem|ShoppingCartID|2|nvarchar
59|Sales|ShoppingCartItem|Quantity|3|int
60|Sales|ShoppingCartItem|ProductID|4|int
61|Sales|ShoppingCartItem|DateCreated|5|datetime
62|Sales|ShoppingCartItem|ModifiedDate|6|datetime
63|Production|ProductDocument|ProductID|1|int
64|Production|ProductDocument|DocumentNode|2|hierarchyid
65|Production|ProductDocument|ModifiedDate|3|datetime
66|dbo|DatabaseLog|DatabaseLogID|1|int
67|dbo|DatabaseLog|PostTime|2|datetime
68|dbo|DatabaseLog|DatabaseUser|3|nvarchar
69|dbo|DatabaseLog|Event|4|nvarchar
70|dbo|DatabaseLog|Schema|5|nvarchar
71|dbo|DatabaseLog|Object|6|nvarchar
72|dbo|DatabaseLog|TSQL|7|nvarchar
73|dbo|DatabaseLog|XmlEvent|8|xml
74|Production|ProductInventory|ProductID|1|int
75|Production|ProductInventory|LocationID|2|smallint
